"word","frequency"
"bleeding","1"
"bless","2"
"Blessað","1"
"blessi","1"
"blessið","1"
"blessing?","1"
"blindfolds","1"
"blink","1"
"blisses?","1"
"blissing","1"
"blóm","1"
"blood","5"
"Blood","1"
"blooming","1"
"blossom","1"
"blow","7"
"blue","1"
"Blueberries","1"
"blueprint","1"
"boat","1"
"[Boat","1"
"boats","1"
"bodies","1"
"body","13"
"bomber","1"
"bönd","1"
"bondage","1"
"böndin","1"
"bonds","1"
"bone","1"
"Bone","1"
"bones","4"
"boom","6"
"bored","2"
"borg","1"
"boring","1"
"born","1"
"Born","1"
"bosom?","1"
"bosoms","1"
"both","3"
"bottles","1"
"bottom","2"
"bought","1"
"boy","20"
"boy""","1"
"brá","1"
"branch","2"
"branches","6"
"brand","2"
"Brand","1"
"brann","1"
"brave","1"
"Bravely","1"
"bread","1"
"break","3"
"Break","3"
"Break]","1"
"breath","4"
"breath?","1"
"breathe","1"
"breathing","1"
"breeze","1"
"bregða","1"
"brekkurót","1"
"[Bridge]","11"
"Bridging","1"
"brighter","1"
"brightness","1"
"brim","1"
"bring","2"
"brings","3"
"brjóttú","1"
"broke","2"
"broken","3"
"Brooklyn","1"
"Brosa","1"
"brosið","1"
"brostið","1"
"Brrbrbrbbbrbrehheee","1"
"bryggjunni","1"
"bú","1"
"bubble","2"
"buddhist","1"
"build","2"
"Build","1"
"building's","1"
"Búkolla","4"
"bulging","1"
"bump","1"
"Bump","2"
"bundle","1"
"burden","1"
"burned","2"
"burning","2"
"Burning","1"
"burns","1"
"burst","5"
"burt","1"
"bushes""","1"
"but","3"
"But","49"
"buttocks","1"
"by","28"
"By","6"
"byggja","1"
"cabin","1"
"Cabin","1"
"Cairo","1"
"called","3"
"calling","1"
"calls","1"
"calm","5"
"Calm","1"
"came","2"
"can","40"
"Can","5"
"(Can","2"
"cannot","1"
"canoneerers","1"
"cant","3"
"can't","13"
"can’t","13"
"Can't","4"
"Capacity","1"
"capture","1"
"car","5"
"care","40"
"care""","1"
"Care","4"
"cared","1"
"careful","2"
"carefully","3"
"carefully:","2"
"cares","1"
"Caress","1"
"caresses","1"
"caressing","1"
"Carnage","1"
"Carnage!","2"
"carried","1"
"carrier","1"
"carries","2"
"Carry","2"
"carrying","1"
"cars","1"
"carten","1"
"carved","3"
"Cash","1"
"cast","4"
"catch","19"
"Catherine","1"
"'cause","10"
"Cause","6"
"caves","1"
"caving","1"
"celebrate","2"
"celebrate)","1"
"celebrating","1"
"cell","1"
"cells","3"
"centipedes","1"
"centuries","1"
"century","1"
"Cetacean","1"
"chain","1"
"chains","1"
"charm","6"
"charm""","1"
"charms","1"
"chasteness","1"
"chest","3"
"childhood","2"
"children","3"
"Children","1"
"China?","1"
"choir","1"
"Chorus","2"
"[Chorus","100"
"[Chorus:","4"
"[Chorus]","96"
"[Chorus]""","2"
"
""[Chorus","1"
"
""[Chorus]","4"
"chose","1"
"chosen","1"
"cinders","1"
"city","3"
"clack!","3"
"claim","1"
"clang","3"
"Clatter","3"
"clatter-machine","2"
"clatter-machines","2"
"claustrophobic","1"
"claustrophobic?","1"
"clean","1"
"Clean","3"
"clearly:","1"
"clementine","2"
"cliff","2"
"Cliffhanger","1"
"cliffs","1"
"Clinging","1"
"clock","7"
"clogged","1"
"close","4"
"closed","2"
"closeness","1"
"clothes","2"
"cloud","1"
"clubs","1"
"clumsily","1"
"clutch","1"
"Cobwebs","1"
"cocoon","1"
"code","2"
"coding","1"
"coily","1"
"Coincidence","1"
"cold","3"
"collar","2"
"collects","2"
"colonists","1"
"coloured","1"
"come","20"
"Come","5"
"comes","6"
"comfort","3"
"Comfort","1"
"coming","5"
"commitment","3"
"community","1"
"Compares","1"
"compass","1"
"complain","8"
"complete","3"
"complete?","1"
"Complete""","1"
"compress","1"
"compromise","6"
"condition","1"
"confess","1"
"confront","1"
"Confuse","1"
"confused","1"
"confusing","1"
"Conscience\""]","2"
"consensual","1"
"conspires","4"
"constellation","1"
"continents","1"
"controls","1"
"cooling","1"
"copy","1"
"cord","1"
"core","4"
"corpses","1"
"corridor","1"
"could","14"
"could've","1"
"count","2"
"country","1"
"courage","6"
"Cover","4"
"covers","1"
"cow","4"
"cowards","2"
"cows","1"
"crack","5"
"crack)","1"
"cradle","10"
"cradles","1"
"crash","5"
"craving","2"
"crawl","1"
"crawled","1"
"Crawling","2"
"crawls","1"
"creature","1"
"creatures","4"
"cree","1"
"cried","1"
"crime","2"
"Crooked","1"
"cross","2"
"Crosses","1"
"crossfade","1"
"crouched","1"
"crowd","1"
"crowed","1"
"crown?","4"
"cry","1"
